"Name","DisplayName","Description","Status"
"AJRouter","Service de routeur AllJoyn",,"Stopped"
"ALG","Service de la passerelle de la couche Application",,"Stopped"
"AppIDSvc","Identité de l’application",,"Stopped"
"Appinfo","Informations d’application",,"Stopped"
"AppReadiness","Préparation des applications",,"Stopped"
"AppVClient","Microsoft App-V Client",,"Stopped"
"AppXSvc","Service de déploiement AppX (AppXSVC)",,"Stopped"
"AudioEndpointBuilder","Générateur de points de terminaison du service Audio Windows",,"Stopped"
"Audiosrv","Audio Windows",,"Stopped"
"AxInstSV","Programme d’installation ActiveX (AxInstSV)",,"Stopped"
"BITS","Service de transfert intelligent en arrière-plan",,"Stopped"
"BTAGService","Service de passerelle audio Bluetooth",,"Stopped"
"bthserv","Service de prise en charge Bluetooth",,"Stopped"
"camsvc","Service Gestionnaire d’accès aux fonctionnalités",,"Stopped"
"CaptureService_ba942","CaptureService_ba942",,"Stopped"
"cbdhsvc_ba942","Service utilisateur du Presse-papiers_ba942",,"Stopped"
"ClipSVC","Service de licences de client (ClipSVC)",,"Stopped"
"COMSysApp","Application système COM+",,"Stopped"
"ConsentUxUserSvc_ba942","ConsentUX_ba942",,"Stopped"
"CscService","Fichiers hors connexion",,"Stopped"
"defragsvc","Optimiser les lecteurs",,"Stopped"
"DeviceAssociationService","Service d’association de périphérique",,"Stopped"
"DeviceInstall","Service d’installation de périphérique",,"Stopped"
"DevicePickerUserSvc_ba942","DevicePicker_ba942",,"Stopped"
"DevicesFlowUserSvc_ba942","Flux d’appareils_ba942",,"Stopped"
"DevQueryBroker","Service Broker de découverte en arrière-plan DevQuery",,"Stopped"
"diagnosticshub.standardcollector.service","Service Collecteur standard du concentrateur de diagnostic Microsoft (R)",,"Stopped"
"DmEnrollmentSvc","Service d'inscription de la gestion des périphériques",,"Stopped"
"dmwappushservice","Service de routage de messages Push du protocole WAP (Wireless Application Protocol) de gestion des appareils",,"Stopped"
"DoSvc","Optimisation de livraison",,"Stopped"
"dot3svc","Configuration automatique de réseau câblé",,"Stopped"
"DsmSvc","Gestionnaire d’installation de périphérique",,"Stopped"
"DsRoleSvc","Serveur de rôles DS",,"Stopped"
"Eaphost","Protocole EAP (Extensible Authentication Protocol)",,"Stopped"
"EFS","Système de fichiers EFS (Encrypting File System)",,"Stopped"
"embeddedmode","Mode incorporé",,"Stopped"
"EntAppSvc","Service de gestion des applications d'entreprise",,"Stopped"
"fdPHost","Hôte du fournisseur de découverte de fonctions",,"Stopped"
"FDResPub","Publication des ressources de découverte de fonctions",,"Stopped"
"FrameServer","Serveur de trame de la Caméra Windows",,"Stopped"
"GraphicsPerfSvc","GraphicsPerfSvc",,"Stopped"
"hidserv","Service du périphérique d’interface utilisateur",,"Stopped"
